"Sample","Site","Region","Glaze_or_slip_color","Ware","Provenance","Al2O3","As2O3","BaO","CaO","Cl","CoO","Cr2O3","CuO","FeO","K2O","MgO","MnO","MoO3","Na2O","NiO2","P2O5","PbO","Sb2O3","SiO2","SnO2","SO3","TiO2","ZnO","Count","alkali","Ware_type"
"TA11","Termez","Transoxiana","","Slipware","Local Group B",1.8,NA,NA,1.7,NA,NA,NA,NA,4,0.4,0.3,1.1,NA,0.501,NA,NA,55.5,NA,34.7,NA,NA,NA,NA,0,4.701,"Transparent"
"TA12","Termez","Transoxiana","","Slipware","Local-regional Group C",2.8,NA,NA,1.8,NA,NA,NA,0.2,5.8,1.2,0.6,2.2,NA,1,NA,NA,48.7,NA,35.7,NA,NA,NA,NA,0,7.4,"Transparent"
"TA13","Termez","Transoxiana","","Underglaze","Local-regional Group C",3.1,NA,NA,2,NA,NA,NA,0,0.899,2.7,0.799,0,NA,1.3,NA,NA,38.8,NA,50.4,NA,NA,NA,NA,0,9.899,"Transparent"
"TA2","Termez","Transoxiana","","Underglaze","Local-regional Group C",1.7,NA,NA,1.1,NA,NA,NA,0.2,0.599,0.499,0.399,0.0998,NA,0.898,NA,NA,58,NA,36.3,0.2,NA,NA,NA,0,4.596,"Transparent"
"TA3","Termez","Transoxiana","","Slipware","Local Group B",2.47,NA,NA,1.13,NA,NA,NA,0.411,0.514,0.514,0.206,0.308,NA,0.719,NA,NA,54.6,NA,39.2,NA,NA,NA,NA,0,5.039,"Transparent"
"TA4","Termez","Transoxiana","","Splashed","Local-regional Group C",2.4,NA,NA,1.7,NA,NA,NA,1,0.9,1,0.6,NA,NA,1.1,NA,NA,52.2,NA,39.1,NA,NA,NA,NA,0,6.8,"Transparent"
"TA5","Termez","Transoxiana","","Underglaze","Local Group B",3.6,NA,NA,1.1,NA,NA,NA,0.599,1.8,0.599,0.3,0.0999,NA,0.999,NA,NA,52.3,NA,38.6,NA,NA,NA,NA,0,6.598,"Transparent"
"TA6","Termez","Transoxiana","","Opaque","Imported",2.1,NA,NA,2.59,NA,NA,NA,NA,0.499,3.99,0.898,NA,NA,2.79,NA,NA,29.5,NA,52,5.59,NA,NA,NA,0,12.368,"Opaque"
"TA7","Termez","Transoxiana","","Splashed","Local Group B",2.21,NA,NA,2.21,NA,NA,NA,2.91,0.602,0.702,0.602,NA,NA,0.702,NA,NA,50.1,NA,40,NA,NA,NA,NA,0,6.426,"Transparent"
"TA8","Termez","Transoxiana","","Slipware","Local-regional Group C",1.6,NA,NA,1.3,NA,NA,NA,NA,5.29,2,0.399,0.299,NA,1.3,NA,NA,51.5,NA,36.3,NA,NA,NA,NA,0,6.599,"Transparent"
"TA9","Termez","Transoxiana","","Underglaze","Local Group A",5,NA,NA,2.9,NA,NA,NA,NA,0.899,0.599,0.2,NA,NA,0.3,NA,NA,52.7,NA,37.4,NA,NA,NA,NA,0,8.999,"Transparent"
"TASH002","Tashkent","Chach","Green","Opaque","TASH",4.07,NA,NA,3.76,NA,NA,NA,3.03,0.808,3.24,1.49,NA,NA,6.41,NA,NA,15.2,NA,60.9,1.14,NA,NA,NA,0,18.97,"Opaque"
"TASH002","Tashkent","Chach","White","Opaque","TASH",4.08,NA,NA,6.04,NA,NA,NA,NA,1.33,5.09,1.4,NA,NA,5.19,NA,NA,8.79,NA,64.6,3.45,NA,NA,NA,0,21.8,"Opaque"
"TASH003","Tashkent","Chach","Green","Opaque","N/A",3.9,NA,NA,6.01,NA,NA,NA,3.71,NA,5.3,1.52,NA,NA,6.98,NA,NA,7.02,NA,64.8,0.716,NA,NA,NA,0,23.71,"Opaque"
"TASH003","Tashkent","Chach","White","Opaque","N/A",4.61,NA,NA,4.2,NA,NA,NA,NA,NA,4.52,1.56,NA,NA,6.83,NA,NA,7.68,NA,70.6,NA,NA,NA,NA,0,21.72,"Opaque"
"TASH004","Tashkent","Chach","Brown","Opaque","N/A",5.43,NA,NA,1.97,NA,NA,NA,NA,0.981,2.34,0.842,3.62,NA,4.73,NA,NA,33.5,NA,45.6,1,NA,NA,NA,0,15.312,"Opaque"
"TASH004","Tashkent","Chach","Green","Opaque","N/A",3.06,NA,NA,2.99,NA,NA,NA,2.41,0.699,2.29,0.697,NA,NA,3.53,NA,NA,39.9,NA,41.9,2.56,NA,NA,NA,0,12.567,"Opaque"
"TASH004","Tashkent","Chach","White","Opaque","N/A",2.81,NA,NA,2.45,NA,NA,NA,NA,NA,2.03,1.09,NA,NA,4.83,NA,NA,33.2,NA,51,2.61,NA,NA,NA,0,13.21,"Opaque"
"TASH006","Tashkent","Chach","Green","Ishkor","TASH",3.72,NA,NA,2.71,NA,NA,NA,2.18,NA,2.15,0.795,NA,NA,5.42,NA,NA,28.1,NA,54.9,NA,NA,NA,NA,0,14.795,"Opaque"
"TASH006","Tashkent","Chach","White","Ishkor","TASH",6.43,NA,NA,2.8,NA,NA,NA,NA,0.628,4.23,1.65,NA,NA,8.38,NA,NA,1.18,NA,74,0.704,NA,NA,NA,0,23.49,"Opaque"
"TASH008","Tashkent","Chach","Green","Slipware - Samanid","TASH",4.87,NA,NA,1.4305,NA,NA,NA,1.95,0.53765,0.843,0.5185,NA,NA,0.647,NA,NA,51.7,NA,37.25,NA,NA,0.22085,NA,0,8.309,"Transparent"
"TASH011","Tashkent","Chach","Brown","Slipware - Samanid","N/A",3.71,NA,NA,0.619,NA,NA,NA,1.56,1.97,1.47,NA,0.743,NA,0.489,NA,NA,53.9,NA,35.3,NA,NA,0.236,NA,0,6.288,"Transparent"
"TASH011","Tashkent","Chach","Green","Slipware - Samanid","N/A",2.52,NA,NA,0.704,NA,NA,NA,1.24,0.409,1.23,NA,NA,NA,0.393,NA,NA,57.3,NA,36.2,NA,NA,NA,NA,0,4.847,"Transparent"
"TASH011","Tashkent","Chach","Transparent","Slipware - Samanid","N/A",4.18,NA,NA,1.02,NA,NA,NA,0.516,0.474,1.66,0.233,NA,NA,0.875,NA,NA,51.2,NA,39.7,NA,NA,0.132,NA,0,7.968,"Transparent"
"TASH012","Tashkent","Chach","Brown","Slipware - Samanid","TASH",4.15,NA,NA,1.46,NA,NA,NA,0.444,2.67,1.25,0.5,2.3,NA,0.0836,NA,NA,48.7,NA,38.4,NA,NA,0.0148,NA,0,7.4436,"Transparent"
"TASH012","Tashkent","Chach","Green","Slipware - Samanid","TASH",4.11,NA,NA,1.29,NA,NA,NA,2.85,1.26,1.52,0.653,0.786,NA,0.41,NA,NA,54.2,NA,32.9,NA,NA,NA,NA,0,7.983,"Transparent"
"TASH012","Tashkent","Chach","Transparent","Slipware - Samanid","TASH",6.83,NA,NA,0.774,NA,NA,NA,NA,0.344,1.76,0.932,NA,NA,0.685,NA,NA,42.3,NA,46.4,NA,NA,NA,NA,0,10.981,"Transparent"
"TASH013","Tashkent","Chach","Brown","Slipware - Samanid","TASH",3.61,NA,NA,1.38,NA,NA,NA,NA,2.2,1.04,0.146,0.659,NA,NA,NA,NA,50.5,NA,40.4,NA,NA,0.0294,NA,0,6.176,"Transparent"
"TASH013","Tashkent","Chach","Transparent","Slipware - Samanid","TASH",4.58,NA,NA,0.79,NA,NA,NA,NA,1.29,0.597,0.519,0.303,NA,0.457,NA,0.338,50.2,NA,40.8,NA,NA,0.087,NA,0,6.943,"Transparent"
"TASH017","Tashkent","Chach","Red","Slipware - Samanid","N/A",4.79,NA,NA,1.27,NA,NA,NA,NA,1.38,1.37,0.345,NA,NA,0.315,NA,NA,46.3,NA,44.2,NA,NA,NA,NA,0,8.09,"Transparent"
"TASH017","Tashkent","Chach","Transparent","Slipware - Samanid","N/A",3.53,NA,NA,1.03,NA,NA,NA,NA,1.17,0.537,NA,NA,NA,NA,NA,NA,51.5,NA,41.8,NA,NA,0.379,NA,0,5.097,"Transparent"
"TASH021","Tashkent","Chach","Brown","Slipware - Samanid","N/A",4.33,NA,NA,0.863,NA,NA,NA,NA,2.59,1.61,0.175,1.7,NA,0.392,NA,NA,44.6,NA,43.8,NA,NA,NA,NA,0,7.37,"Transparent"
"TASH021","Tashkent","Chach","Transparent","Slipware - Samanid","N/A",4.78,NA,NA,0.854,NA,NA,NA,NA,1,1.73,NA,0.0685,NA,0.179,NA,NA,44.8,NA,46.6,NA,NA,NA,NA,0,7.543,"Transparent"
"TASH025","Tashkent","Chach","Brown","Slipware - Qarakhanid","TASH",3.33,NA,NA,0.369,NA,NA,NA,NA,0.768,1.36,0.0437,0.159,NA,0.497,NA,NA,52,NA,41.1,NA,NA,0.337,NA,0,5.5997,"Transparent"
"TASH025","Tashkent","Chach","Transparent","Slipware - Qarakhanid","TASH",3.48,NA,NA,0.892,NA,NA,NA,NA,0.618,2.12,NA,NA,NA,0.4,NA,NA,51.4,NA,41.1,NA,NA,NA,NA,0,6.892,"Transparent"
"TASH033","Tashkent","Chach","Olive","Slipware - Samanid","TASH",3.65,NA,NA,0.741,NA,NA,0.348,NA,0.647,0.701,0.249,NA,NA,0.166,NA,NA,54.7,NA,38.5,NA,NA,0.265,NA,0,5.507,"Transparent"
"TASH033","Tashkent","Chach","Transparent","Slipware - Samanid","TASH",4.13,NA,NA,0.595,NA,NA,NA,NA,0.547,0.543,0.388,NA,NA,0.374,NA,NA,53.1,NA,40.1,NA,NA,0.232,NA,0,6.03,"Transparent"
"TASH034","Tashkent","Chach","Olive","Slipware - Samanid","N/A",2.89,NA,NA,0.501,NA,NA,0.179,NA,0.719,0.641,NA,NA,NA,NA,NA,NA,53.3,NA,41.6,NA,NA,0.131,NA,0,4.032,"Transparent"
"TASH034","Tashkent","Chach","Red","Slipware - Samanid","N/A",2.99,NA,NA,0.961,NA,NA,NA,NA,1.27,0.639,NA,NA,NA,NA,NA,NA,51.9,NA,42,NA,NA,0.232,NA,0,4.59,"Transparent"
"TASH034","Tashkent","Chach","Transparent","Slipware - Samanid","N/A",3.21,NA,NA,0.591,NA,NA,NA,NA,0.419,0.721,NA,NA,NA,0.0119,NA,NA,53,NA,42,NA,NA,0.0587,NA,0,4.5339,"Transparent"
"TASH035","Tashkent","Chach","Olive","Slipware - Samanid","N/A",4.41,NA,NA,1.37,NA,NA,0.44,0.0538,0.343,1.64,0.642,NA,NA,0.348,NA,0.414,52,NA,38.4,NA,NA,NA,NA,0,8.41,"Transparent"
"TASH035","Tashkent","Chach","Red","Slipware - Samanid","N/A",3.22,NA,NA,0.725,NA,NA,0.822,0.308,0.181,0.497,0.16,NA,NA,NA,NA,NA,55.9,NA,38.2,NA,NA,NA,NA,0,4.602,"Transparent"
"TASH035","Tashkent","Chach","Transparent","Slipware - Samanid","N/A",3.93,NA,NA,0.618,NA,NA,NA,NA,0.535,0.376,0.546,NA,NA,0.432,NA,0.318,55.6,NA,37.7,NA,NA,NA,NA,0,5.902,"Transparent"
"TASH040","Tashkent","Chach","Black","Slipware - Qarakhanid","TASH",4.16,NA,NA,2.08,NA,NA,0.458,NA,7.05,0.777,0.193,NA,NA,NA,NA,NA,51.9,NA,33.4,NA,NA,NA,NA,0,7.21,"Transparent"
"TASH040","Tashkent","Chach","Yellow","Slipware - Qarakhanid","TASH",3.91,NA,NA,0.936,NA,NA,0.0643,0.551,0.736,0.996,0.306,0.307,NA,0.142,NA,NA,53.3,NA,38.8,NA,NA,NA,NA,0,6.29,"Transparent"
"TASH042","Tashkent","Chach","Brown","Slipware - Qarakhanid","TASH",3.11,NA,NA,0.632,NA,NA,0.57,NA,0.559,0.341,0.617,NA,NA,0.31,NA,NA,56.7,NA,37.1,NA,NA,NA,NA,0,5.01,"Transparent"
"TASH042","Tashkent","Chach","Yellow","Slipware - Qarakhanid","TASH",2.96,NA,NA,0.743,NA,NA,0.104,NA,0.194,0.277,0.411,NA,NA,0.346,NA,NA,61.6,NA,33.2,NA,NA,0.103,NA,0,4.737,"Transparent"
"TASH045","Tashkent","Chach","Brown","Slipware - Qarakhanid","TASH",3.48,NA,NA,0.71,NA,NA,NA,NA,0.63,0.343,0.473,NA,NA,0.312,NA,NA,59.2,NA,34.8,NA,NA,NA,NA,0,5.318,"Transparent"
"TASH045","Tashkent","Chach","Yellow","Slipware - Qarakhanid","TASH",3.25,NA,NA,0.922,NA,NA,0.104,NA,0.516,0.655,0.177,NA,NA,NA,NA,NA,58.6,NA,35.7,NA,NA,0.0743,NA,0,5.004,"Transparent"
"TASH046","Tashkent","Chach","Brown","Slipware - Qarakhanid","N/A",4.01,NA,NA,0.804,NA,NA,NA,0.277,1.59,0.938,NA,0.228,NA,0.0596,NA,NA,55.8,NA,36.3,NA,NA,NA,NA,0,5.8116,"Transparent"
"TASH046","Tashkent","Chach","Olive","Slipware - Qarakhanid","N/A",3.08,NA,NA,0.716,NA,NA,0.671,NA,0.431,0.329,1.02,NA,NA,NA,NA,NA,57.2,NA,36.6,NA,NA,NA,NA,0,5.145,"Transparent"
"TASH046","Tashkent","Chach","Yellow","Slipware - Qarakhanid","N/A",4.16,NA,NA,0.268,NA,NA,0.229,NA,0.28,0.178,0.563,NA,NA,0.0587,NA,NA,56.9,NA,37.3,NA,NA,NA,NA,0,5.2277,"Transparent"
"TASH051","Tashkent","Chach","Black","Slipware - Samanid","TASH",6.67,NA,NA,0.762,NA,NA,NA,NA,4.88,0.857,0.408,NA,NA,0.521,NA,NA,49.3,NA,36.6,NA,NA,NA,NA,0,9.218,"Transparent"
"TASH051","Tashkent","Chach","Brown","Slipware - Samanid","TASH",6.8,NA,NA,3.81,NA,NA,NA,NA,1.43,1.47,0.917,NA,NA,1.05,NA,0.221,39.7,NA,44.6,NA,NA,NA,NA,0,14.047,"Transparent"
"TASH051","Tashkent","Chach","Transparent","Slipware - Samanid","TASH",6.79,NA,NA,1.43,NA,NA,NA,NA,0.457,2.14,0.441,NA,NA,0.933,NA,0.183,41.5,NA,46,NA,NA,0.074,NA,0,11.734,"Transparent"
"TASH052","Tashkent","Chach","Brown","Slipware - Samanid","N/A",4.82,NA,NA,0.858,NA,NA,NA,NA,1.63,1.15,NA,1.24,NA,NA,NA,NA,45.4,NA,44.6,NA,NA,0.322,NA,0,6.828,"Transparent"
"TASH052","Tashkent","Chach","Transparent","Slipware - Samanid","N/A",5.3,NA,NA,1.84,NA,NA,NA,NA,0.0112,1.9,0.577,NA,NA,0.117,NA,NA,41.5,NA,48.2,NA,NA,0.61,NA,0,9.734,"Transparent"
"TASH058","Tashkent","Chach","Brown","Splashed","N/A",1.81,NA,NA,1.53,NA,NA,NA,NA,1,0.363,NA,1.73,NA,NA,NA,NA,58.2,NA,35.4,NA,NA,NA,NA,0,3.703,"Transparent"
"TASH058","Tashkent","Chach","Green","Splashed","N/A",2.19,NA,NA,1.23,NA,NA,NA,3.22,0.308,0.566,0.279,NA,NA,0.203,NA,NA,55.5,NA,36.5,NA,NA,NA,NA,0,4.468,"Transparent"
"TASH058","Tashkent","Chach","Transparent","Splashed","N/A",6.61,NA,NA,3.95,NA,NA,NA,NA,1.58,1.25,1.04,NA,NA,0.572,NA,0.284,43.3,NA,41.4,NA,NA,NA,NA,0,13.422,"Transparent"
"TASH059","Tashkent","Chach","Transparent","Slipware - Samanid","TASH",3.63,NA,NA,0.627,NA,NA,NA,NA,0.399,0.965,0.314,NA,NA,0.383,NA,NA,50.6,NA,43.1,NA,NA,NA,NA,0,5.919,"Transparent"
"TASH060","Tashkent","Chach","Red","Slipware - Qarakhanid","N/A",3.01,NA,NA,1.22,NA,NA,NA,NA,0.866,1.84,0.174,NA,NA,0.401,NA,NA,51.5,NA,40.9,NA,NA,NA,NA,0,6.645,"Transparent"
"TASH060","Tashkent","Chach","Transparent","Slipware - Qarakhanid","N/A",3.63,NA,NA,1.25,NA,NA,0.434,NA,0.573,1.27,0.362,NA,NA,0.588,NA,NA,50.5,NA,41.2,NA,NA,0.146,NA,0,7.1,"Transparent"
"TASH064","Tashkent","Chach","Black","Slipware - Samanid","N/A",4.79,NA,NA,0.495,NA,NA,NA,NA,1.45,0.572,0.572,0.791,NA,0.419,NA,NA,47.3,NA,43.3,NA,NA,0.23,NA,0,6.848,"Transparent"
"TASH064","Tashkent","Chach","Transparent","Slipware - Samanid","N/A",4.58,NA,NA,0.729,NA,NA,NA,NA,0.279,0.847,0.158,NA,NA,NA,NA,NA,50.7,NA,42.2,NA,NA,0.536,NA,0,6.314,"Transparent"
"TAZ001","Taraz","Talas Valley","Red","Slipware - Qarakhanid","TAZ - Group 3",4.76,NA,NA,1.74,NA,NA,0.253,NA,1.48,0.866,0.934,NA,NA,0.689,NA,NA,53,NA,36.2,NA,NA,NA,NA,0,8.989,"Transparent"
"TAZ001","Taraz","Talas Valley","Transparent","Slipware - Qarakhanid","TAZ - Group 3",3.45,NA,NA,1.62,NA,NA,NA,NA,0.813,0.867,NA,NA,NA,NA,NA,NA,57.1,NA,35.7,NA,NA,0.483,NA,0,5.937,"Transparent"
"TAZ003","Taraz","Talas Valley","Brown","Slipware - Qarakhanid","TASH",3.35,NA,NA,1.51,NA,NA,0.671,0.674,0.397,0.691,0.468,NA,NA,0.107,NA,NA,55.7,NA,36.5,NA,NA,NA,NA,0,6.126,"Transparent"
"TAZ003","Taraz","Talas Valley","Red","Slipware - Qarakhanid","TASH",4.72,NA,NA,1.14,NA,NA,NA,NA,0.915,0.0749,0.413,NA,NA,NA,NA,NA,59.2,NA,33.6,NA,NA,NA,NA,0,6.3479,"Transparent"
"TAZ006","Taraz","Talas Valley","Brown","Slipware - Qarakhanid","TASH",3.2,NA,NA,0.754,NA,NA,0.607,0.188,0.784,0.33,0.557,NA,NA,0.202,NA,NA,56.3,NA,37,NA,NA,NA,NA,0,5.043,"Transparent"
"TAZ006","Taraz","Talas Valley","Yellow","Slipware - Qarakhanid","TASH",3.19,NA,NA,0.996,NA,NA,NA,NA,0.538,0.622,0.207,NA,NA,0.096,NA,NA,58.8,0.107,35.4,NA,NA,NA,NA,0,5.111,"Transparent"
"TS1","Termez","Transoxiana","","Opaque","Imported",2.09,NA,NA,2.59,NA,NA,NA,NA,1.39,3.39,0.797,NA,NA,2.39,NA,NA,34.3,NA,48.3,4.78,NA,NA,NA,0,11.257,"Opaque"
"TS2","Termez","Transoxiana","","Underglaze","Local Group A",3.7,NA,NA,1.8,NA,NA,NA,0.2,3.4,1.8,0.599,0.799,NA,1.4,NA,NA,45.3,NA,41.1,NA,NA,NA,NA,0,9.299,"Transparent"
"TS3","Termez","Transoxiana","Green","Monochrome","Local Group A",2.7,NA,NA,3,NA,NA,NA,2.7,1.2,1.1,0.501,0,NA,0.701,NA,NA,54.2,NA,33.9,NA,NA,NA,NA,0,8.002,"Transparent"
"TS4","Termez","Transoxiana","","Alkali","Local Group A",11.1,NA,NA,2.72,NA,NA,NA,0.705,0.504,7.35,1.51,0.302,NA,8.06,NA,NA,0.201,NA,67.6,NA,NA,NA,NA,0,30.74,"Opaque"
"TS5","Termez","Transoxiana","Blue","Alkali","Local Group A",3.41,NA,NA,3.71,NA,NA,NA,5.12,0.802,4.41,2.21,0,NA,12.3,NA,NA,0.1,NA,67.9,NA,NA,NA,NA,0,26.04,"Opaque"
"TS6","Termez","Transoxiana","Blue","Alkali","Local Group A",4.32,NA,NA,4.32,NA,NA,NA,4.12,1,5.82,2.11,0.301,NA,8.73,NA,NA,0.301,NA,69,NA,NA,NA,NA,0,25.3,"Opaque"
"TS7","Termez","Transoxiana","Blue","Alkali","Local Group A",4.54,NA,NA,4.84,NA,NA,NA,NA,0.504,5.44,2.52,NA,NA,7.16,NA,NA,0.202,NA,74.8,NA,NA,NA,NA,0,24.5,"Opaque"
"TS8","Termez","Transoxiana","","Alkali","Local Group A",2.72,NA,NA,5.04,NA,NA,NA,1.61,7.96,3.83,2.92,NA,NA,7.25,NA,NA,0,NA,68.7,NA,NA,NA,NA,0,21.76,"Opaque"
"Tashkent 10","Tashkent","Chach","Black","Slipware",NA,2.4,NA,NA,0,NA,NA,NA,NA,1.62,1,0,0.4,NA,0,NA,NA,54.9,NA,39.6,NA,NA,NA,NA,0,3.4,"Transparent"
"Tashkent 10","Tashkent","Chach","Red","Slipware",NA,4.1,NA,NA,0,NA,NA,NA,NA,0.54,0.7,0,0,NA,0,NA,NA,54.4,NA,40.2,NA,NA,NA,NA,0,4.8,"Transparent"
"Tashkent 10","Tashkent","Chach","Transparent","Slipware",NA,2.5,NA,NA,0.1,NA,NA,NA,NA,0,1.9,0,0,NA,0.4,NA,NA,52.5,NA,42.6,NA,NA,NA,NA,0,4.9,"Transparent"
"Tashkent 15","Tashkent","Chach","Green","Monochrome",NA,3.61,NA,NA,2.41,NA,NA,NA,2.91,0.992,1.7,0.501,NA,NA,0,NA,NA,50.2,NA,37.7,NA,NA,NA,NA,0,8.221,"Transparent"
"Tashkent 18","Tashkent","Chach","Black","Slipware",NA,2,NA,NA,0.2,NA,NA,NA,NA,1.53,0.801,0.1,0.501,NA,0,NA,NA,60.2,NA,34.7,NA,NA,NA,NA,0,3.101,"Transparent"
"Tashkent 18","Tashkent","Chach","Transparent","Slipware",NA,2.3,NA,NA,0.0999,NA,NA,NA,NA,0,0.599,0,0,NA,0,NA,NA,62.2,NA,34.8,NA,NA,NA,NA,0,2.9989,"Transparent"
"Tashkent 2","Tashkent","Chach","Green","Ishkor",NA,4.7,NA,NA,3.3,0.1,NA,NA,2.5,0.27,4.4,0.9,0,NA,3.7,NA,NA,16.4,NA,63.7,NA,NA,0,NA,0,17,"Opaque"
"Tashkent 2","Tashkent","Chach","Lilac","Ishkor",NA,5.9,NA,NA,3.5,0.2,NA,NA,0,0.72,6.4,1.5,0.1,NA,4.9,NA,NA,1.4,NA,75.3,NA,NA,0.1,NA,0,22.2,"Opaque"
"Tashkent 24","Tashkent","Chach","Black","Slipware",NA,2.4,NA,NA,0.4,NA,NA,NA,NA,0.63,1,0.1,0.6,NA,0.2,NA,NA,57.4,NA,37.3,NA,NA,NA,NA,0,4.1,"Transparent"
"Tashkent 24","Tashkent","Chach","Transparent","Slipware",NA,2.1,NA,NA,0.3,NA,NA,NA,NA,0,0.701,0,0,NA,0,NA,NA,59.6,NA,37.3,NA,NA,NA,NA,0,3.101,"Transparent"
"Tashkent 32","Tashkent","Chach","Red","Slipware",NA,2.4,NA,NA,0.2,NA,NA,NA,NA,0,0.501,0,NA,NA,0,NA,NA,57,NA,39.9,NA,NA,NA,NA,0,3.101,"Transparent"
"Tashkent 4","Tashkent","Chach","Green","Ishkor",NA,3.7,NA,NA,3.8,NA,NA,NA,7.21,0.27,3.6,1.1,0,NA,3.3,NA,0,15.1,NA,61.8,NA,0.1,0,NA,0,15.5,"Opaque"
"Tashkent 4","Tashkent","Chach","Lilac","Ishkor",NA,3.8,NA,NA,3.8,NA,NA,NA,0,0.54,4.1,1.5,0.1,NA,4.3,NA,0,8.4,NA,73.4,NA,0.1,0,NA,0,17.5,"Opaque"
