NAA Group,Ce_mean,Ce_sd,Ce_rsd,Co_mean,Co_sd,Co_rsd,Cr_mean,Cr_sd,Cr_rsd,Cs_mean,Cs_sd,Cs_rsd,Eu_mean,Eu_sd,Eu_rsd,Fe_mean,Fe_sd,Fe_rsd,Hf_mean,Hf_sd,Hf_rsd,Ni_mean,Ni_sd,Ni_rsd,Rb_mean,Rb_sd,Rb_rsd,Sb_mean,Sb_sd,Sb_rsd,Sc_mean,Sc_sd,Sc_rsd,Sr_mean,Sr_sd,Sr_rsd,Ta_mean,Ta_sd,Ta_rsd,Tb_mean,Tb_sd,Tb_rsd,Th_mean,Th_sd,Th_rsd,Zn_mean,Zn_sd,Zn_rsd,As_mean,As_sd,As_rsd,La_mean,La_sd,La_rsd,Lu_mean,Lu_sd,Lu_rsd,Nd_mean,Nd_sd,Nd_rsd,Sm_mean,Sm_sd,Sm_rsd,U_mean,U_sd,U_rsd,Yb_mean,Yb_sd,Yb_rsd,Al_mean,Al_sd,Al_rsd,Ba_mean,Ba_sd,Ba_rsd,Ca_mean,Ca_sd,Ca_rsd,Dy_mean,Dy_sd,Dy_rsd,K_mean,K_sd,K_rsd,Mn_mean,Mn_sd,Mn_rsd,Na_mean,Na_sd,Na_rsd,Ti_mean,Ti_sd,Ti_rsd,V_mean,V_sd,V_rsd,Na2O_mean,Na2O_sd,Na2O_rsd,Al2O3_mean,Al2O3_sd,Al2O3_rsd,K2O_mean,K2O_sd,K2O_rsd,CaO_mean,CaO_sd,CaO_rsd,Fe2O3_mean,Fe2O3_sd,Fe2O3_rsd,TiO2_mean,TiO2_sd,TiO2_rsd
,64.65,10.20329467,15.78235835,17.097,4.34665657,25.42350453,146.01,53.32009106,36.51810908,6.385,0.651702898,10.20677991,1.2131,0.149773496,12.34634372,40490,6179.796832,15.26252614,5.138,1.074190134,20.90677568,NA,41.37967832,NA,163.6,124.6623885,76.19950398,1.879,0.923140172,49.12933328,15.475,2.630890217,17.00090609,629.7,688.851387,109.3935822,0.926,0.129374564,13.97133519,0.867,0.217768991,25.11753065,11.657,1.994815781,17.11259999,111.5,18.37419688,16.47910034,17.96,5.006262744,27.87451417,31.149,2.442027618,7.839826699,0.3488,0.037332738,10.70319326,28.62,2.122262943,7.415314267,5.219,0.551471768,10.56661752,3.09,1.364795467,44.16813809,2.566,0.391895678,15.27262969,74860,6309.463791,8.428351311,574.5,159.4931207,27.76207497,74790,12086.6731,16.16081442,4.598,0.540962106,11.76516107,23560,4379.548429,18.58891523,812.9,181.7571334,22.35910117,11996,2208.318616,18.4087914,3875,397.1075981,10.24793801,131.9,17.77295073,13.47456462,1.617025734,0.297674894,18.4087914,14.14435907,1.192136273,8.428351311,2.838040564,0.527560955,18.58891523,10.46459112,1.691163151,16.16081442,5.78899331,0.883546617,15.26252614,0.64653493,0.066256499,10.24793801
BUK,63.33967213,2.01819884,3.186310841,15.52688525,1.096305221,7.060689914,93.88459016,4.659803849,4.963331939,6.449672131,1.697567836,26.3202191,1.149344262,0.040573754,3.53016544,41418.68852,2035.281566,4.913920837,4.17852459,0.193320425,4.626523579,NA,30.53309262,NA,94.62508197,18.50095688,19.55185295,2.368688525,0.237286574,10.01763513,15.03770492,0.629103578,4.18350793,415.4244262,95.88393217,23.08095676,0.939836066,0.05321315,5.661960852,0.800819672,0.127322361,15.89900516,11.48557377,0.432968531,3.769672629,108.1145902,21.06964037,19.48824884,21.00180328,2.593041656,12.34675719,31.63393443,0.960500353,3.036297479,0.391147541,0.020420444,5.22064999,28.80262295,1.446167235,5.020956729,5.675737705,0.200170419,3.526773604,3.886393443,0.868964964,22.35916093,2.66295082,0.192953745,7.245862114,78252,3720.132197,4.754041044,573.5532787,53.04226082,9.248009346,92222,8968.659229,9.72507561,4.683278689,0.445229234,9.506784966,26329.81967,4009.053856,15.22628679,835.2245902,57.90930713,6.933381489,9132.703279,1037.412927,11.35931931,3813.736066,321.5931426,8.432496036,121.1309836,10.44475605,8.622695649,1.231061706,0.13984023,11.35931931,14.78525763,0.702897216,4.754041044,3.17169339,0.482931132,15.22628679,12.90367058,1.25489172,9.72507561,5.921771074,0.290991143,4.913920837,0.636313182,0.053657084,8.432496036
BUK A,59.228,1.63106407,2.753873286,13.424,1.390082731,10.35520509,83.83,7.547797692,9.003695207,7.93,0.708978138,8.940455711,1.084,0.035777088,3.300469339,37523,1732.416953,4.616946815,4.184,0.418126775,9.993469767,NA,18.31829605,NA,79.826,12.76241278,15.98778942,2.328,0.170205758,7.311243893,13.898,0.36203591,2.604949704,634.016,76.24912872,12.02637295,0.876,0.037148351,4.240679366,0.806,0.238075618,29.5379179,10.588,0.487821689,4.607307223,111.342,18.13279818,16.28567673,20.42,2.91139142,14.25754858,29.588,0.820895852,2.774421563,0.362,0.028635642,7.910398378,26.182,2.085250584,7.964443451,5.224,0.109224539,2.090821963,3.978,0.931300166,23.41126612,2.444,0.203543607,8.328298164,75107,2297.747266,3.059298423,571.096,93.54973987,16.38073807,85991.2,10536.29314,12.25275743,4.374,0.627638431,14.34930112,20322.6,3042.241986,14.9697479,696.176,91.84521642,13.19281567,13411.2,1905.687199,14.20966952,3461.74,377.8468182,10.91493926,109.478,19.42075874,17.73941681,1.807790558,0.256881064,14.20966952,14.19102827,0.434145904,3.059298423,2.448062953,0.366468852,14.9697479,12.03185918,1.474234519,12.25275743,5.364791207,0.247689557,4.616946815,0.57758344,0.063042882,10.91493926
NISH,60.49473684,5.1528281,8.517812241,17.87368421,1.423459052,7.963993518,120.1,16.60562154,13.82649587,6.501578947,0.718240622,11.04717219,1.161526316,0.061863082,5.326016409,41594.73684,2452.543733,5.896283806,5.040526316,1.092903745,21.68233388,NA,22.71769282,NA,166.9473684,117.9451255,70.64808905,1.053157895,0.240371301,22.82386171,14.94947368,0.864101805,5.780148676,505.1578947,118.3090412,23.42021029,0.957894737,0.054729532,5.713522538,0.697368421,0.077232845,11.07489847,10.27842105,1.575571371,15.32892419,105.8421053,18.09930372,17.10028696,19.83157895,8.11761135,40.93275362,30.90947368,4.393725923,14.2148196,0.342578947,0.056650307,16.53642399,28.51052632,4.352508183,15.26632001,5.128421053,0.718039485,14.00118043,2.622105263,0.676753516,25.80954799,2.615263158,0.490083535,18.73935835,71678.94737,6464.396418,9.01854262,483.4736842,54.72595202,11.31932384,75478.94737,9763.456751,12.93533772,4.62,0.643056935,13.91898129,22978.94737,2885.515349,12.55721293,797.5263158,142.4029371,17.85557846,12512.63158,2051.099548,16.3922316,3971.052632,303.2214947,7.635796421,126.5263158,27.64731938,21.85104277,1.686666161,0.276482224,16.3922316,13.54331778,1.221409887,9.01854262,2.768046891,0.347589542,12.55721293,10.5609884,1.366099517,12.93533772,5.946941302,0.350648537,5.896283806,0.662561093,0.050591816,7.635796421
Outlier,60.046,11.28882766,18.80029921,16.444,8.029522402,48.82949648,389.68,590.1626308,151.4480165,6.056,3.112463654,51.39471028,1.1,0.099247166,9.022469655,38778,10004.08329,25.79834775,4.51,1.293116391,28.67220379,NA,91.11685558,NA,75.124,41.62796752,55.41234162,2.596,1.717390462,66.15525664,14.65,3.433416666,23.43629123,426.232,159.0792684,37.32222554,0.874,0.079561297,9.103123241,0.712,0.143073408,20.09457974,10.294,2.638490099,25.6313396,112.94,12.14965226,10.75761666,14.98,2.10908748,14.07935568,30.948,6.214158833,20.07935515,0.3536,0.042951135,12.1468142,28.098,4.076557371,14.50835423,5.288,0.629380648,11.90205461,3.722,1.109445808,29.80778634,2.47,0.467065306,18.90952656,69000.4,11389.75405,16.50679423,474.046,138.4091989,29.19741942,105530.6,29859.49122,28.29462849,4.51,0.372827038,8.266674892,20690.4,5520.679786,26.68232507,804.586,258.5328108,32.13240236,10666.76,3074.343294,28.82171619,3621.5,470.4318601,12.98997267,110.182,17.33389656,15.73205838,1.437848068,0.414412489,28.82171619,13.03722193,2.152027398,16.50679423,2.492368187,0.665021782,26.68232507,14.76580532,4.17792976,28.29462849,5.544222835,1.430317887,25.79834775,0.604239032,0.078490485,12.98997267
PAY 1,60.83333333,4.231386692,6.95570415,15.99666667,1.713077153,10.70896324,93.12666667,7.791420495,8.3664763,6.56,0.444409721,6.774538428,1.103333333,0.070237692,6.365953929,41354,3774.513081,9.127322825,3.8,0.01,0.263157895,NA,15.17853858,NA,71.94,15.52667704,21.58281491,1.41,0.13453624,9.541577338,14.8,1.573308616,10.63046362,425.03,169.03134,39.76927276,0.853333333,0.057735027,6.765823467,0.676666667,0.040414519,5.972588992,11.23333333,0.967488157,8.612654214,88.50666667,2.922196662,3.301668419,5.66,1.302881422,23.0191064,30.77333333,2.152726953,6.995429873,0.363333333,0.030550505,8.408395771,27.83,0.78619336,2.824985126,5.463333333,0.392725519,7.18838656,3.253333333,0.340783411,10.47489993,2.403333333,0.150443788,6.259797002,78489.66667,4014.67836,5.11491325,468.69,45.70937869,9.752582451,94843.33333,4258.065562,4.489578142,4.163333333,0.410528115,9.860563214,15978,3012.959509,18.8569252,745.9566667,97.89152176,13.12295018,17809.33333,4156.151625,23.33692984,3417.433333,367.957339,10.76706707,127.6166667,24.6427278,19.3099604,2.400646075,0.56023709,23.33692984,14.83016335,0.75854999,5.11491325,1.92471189,0.362941481,18.8569252,13.27044664,0.595787072,4.489578142,5.912522335,0.539655001,9.127322825,0.570190973,0.061392845,10.76706707
PAY 2,63.55,2.024129443,3.18509747,17.32666667,0.378197479,2.182748053,100.45,1.627851345,1.62055883,8.09,0.788859937,9.7510499,1.153333333,0.032145503,2.787182301,44150.66667,704.6419895,1.595993997,3.81,0.105356538,2.765263452,NA,38.49546856,NA,110.2633333,7.837169982,7.107684618,1.963333333,0.21825062,11.11633041,16.08,0.370270172,2.302675197,518.79,110.671293,21.33258024,0.883333333,0.080208063,9.080158049,0.976666667,0.015275252,1.564019009,11.82,0.340734501,2.882694592,103.8533333,4.144265114,3.990497927,11.46,3.080568129,26.88104825,31.83666667,0.960017361,3.01544559,0.373333333,0.011547005,3.092947871,29.87666667,1.199847212,4.016000934,5.663333333,0.202566861,3.576813326,4.186666667,0.668904577,15.97702015,2.806666667,0.100664459,3.586619684,80302,1855.776926,2.310997144,569.43,90.76717083,15.94000506,94324.66667,3330.546552,3.530939116,4.553333333,0.362261416,7.955960814,24014.33333,1664.836428,6.932678102,810.0433333,20.03082708,2.472809324,12422.33333,1721.886853,13.8612192,3823.166667,194.560796,5.088995928,127.8433333,1.428647379,1.117498536,1.674494222,0.232105314,13.8612192,15.17259313,0.350638194,2.310997144,2.892769614,0.200546406,6.932678102,13.19787498,0.46600893,3.530939116,6.312371301,0.100745067,1.595993997,0.637886656,0.032462026,5.088995928
PAY 3,62.7875,3.212230533,5.116035092,16.23,1.4730241,9.075934074,93.85,4.404565813,4.693197456,6.385,1.303290707,20.41175735,1.13,0.042426407,3.754549281,41533.25,2711.912778,6.529498121,4.1125,0.324794807,7.897746067,NA,8.97,NA,75.195,14.70530403,19.55622586,2.225,0.171367052,7.701889998,14.935,0.993059246,6.649208211,354.64,11.54707178,3.255998133,0.8725,0.062915287,7.210921142,0.805,0.068556546,8.516341119,11.3175,0.44048269,3.892049391,95.3825,9.760988253,10.23352109,19.1675,1.86140404,9.711251024,31.3325,1.302417624,4.156762543,0.365,0.02081666,5.703194519,28.2275,2.597452277,9.201850243,5.63,0.349094066,6.200605074,3.3725,0.447688508,13.27467777,2.4925,0.09215024,3.697100888,76777.25,5045.440805,6.571531026,482.535,34.88017441,7.228527341,92966.75,3148.828499,3.387048057,4.08,0.111952371,2.743930657,19889.5,1672.348548,8.408198035,762.6725,75.04473793,9.839706812,15054.5,1871.045608,12.42848057,3618.175,427.268802,11.80895899,126.55,5.439859067,4.298584802,2.029302594,0.252211479,12.42848057,14.50661224,0.953306524,6.571531026,2.395891672,0.201451316,8.408198035,13.00787574,0.440583003,3.387048057,5.938150319,0.387731413,6.529498121,0.603684263,0.071288827,11.80895899
SAMK,65.71666667,4.054232356,6.169260497,10.01888889,0.922381119,9.20642128,146.1705556,12.85209824,8.79253567,6.718888889,0.544813934,8.108690925,1.273666667,0.164948477,12.95067863,31873.44444,2454.023376,7.699272605,5.889444444,0.551462998,9.363582643,NA,19.53970708,NA,96.05555556,7.892759319,8.216869158,1.908888889,0.492017323,25.77506347,12.37944444,0.952269563,7.692344896,370.0777778,108.1167889,29.21461255,0.941111111,0.059100004,6.279811509,0.829444444,0.089801888,10.8267514,11.08944444,0.680038686,6.132306171,116.065,44.56079974,38.39296923,14.60666667,3.283737111,22.48108474,32.81333333,2.976322247,9.070466011,0.375055556,0.038912379,10.37509722,30.76833333,3.18489865,10.35122252,5.777222222,0.705105796,12.20492771,4.806666667,1.697579592,35.31718984,2.749444444,0.32545845,11.83724409,65187.11111,5650.303614,8.667823313,548.1522222,127.4618096,23.25299515,79075.11111,15119.67585,19.12065078,4.974444444,0.56220388,11.30184257,23137.05556,3005.305025,12.9891421,630.6311111,151.2402006,23.98235639,10198.34444,1352.749763,13.26440551,3624.527778,330.6607357,9.122863886,121.8972222,25.12915387,20.61503405,1.37470702,0.182346714,13.26440551,12.3167233,1.067591814,8.667823313,2.787092623,0.362019421,12.9891421,11.0641624,2.115539854,19.12065078,4.557054993,0.350860087,7.699272605,0.60474421,0.055169991,9.122863886
TASH,69.51290323,3.066366138,4.41121863,13.53258065,1.365671917,10.09173308,78.05419355,6.688167549,8.568620397,6.541612903,1.165395775,17.81511367,1.207096774,0.049611393,4.109976444,36037.41935,2408.658392,6.683770469,4.989677419,0.334230299,6.698434998,NA,22.16535448,NA,101.6783871,12.24145065,12.03938319,1.928387097,0.261229105,13.54650761,13.00387097,0.81449648,6.26349248,367.8603226,58.17168908,15.81352636,1.035483871,0.044709336,4.317724043,0.912580645,0.169803175,18.60692269,13.22193548,0.839652386,6.350449878,112.8296774,18.19701926,16.12786607,15.44322581,2.21188967,14.32271792,35.43258065,1.403825649,3.961962756,0.388064516,0.022123796,5.701061407,30.94354839,1.570574308,5.075611523,5.999032258,0.19417097,3.236704883,3.328709677,0.518245385,15.56895721,2.827741935,0.211466462,7.478280082,71591.41935,3671.958513,5.129048349,660.4048387,61.20170885,9.2673017,77821,10381.98509,13.34085284,4.699354839,0.253231587,5.388645793,25642.58065,2623.932008,10.23271427,808.9080645,110.6024144,13.67305127,10088.83548,907.5919812,8.996003381,3874.045161,291.6617971,7.528611179,89.45032258,10.84320632,12.12204272,1.359945533,0.122340746,8.996003381,13.52677988,0.69379508,5.129048349,3.08890849,0.31607918,10.23271427,10.8886876,1.452643789,13.34085284,5.152392679,0.3443741,6.683770469,0.646375617,0.048663107,7.528611179
TAZ - Group 3,77.32990241,3.609166676,4.667232937,19.43832289,1.447661999,7.447463485,111.376512,8.413875137,7.554443017,8.369318072,0.779729517,9.316523887,1.301566265,0.052925494,4.066292667,45682.00165,2498.454226,5.469231066,4.931736145,0.298209446,6.046743724,NA,26.58818667,NA,131.6085687,8.01248061,6.088114695,3.985327711,0.932531582,23.39911921,16.67308072,1.018126926,6.106411546,338.9610904,83.49784076,24.63345886,1.039307229,0.056660159,5.451723736,0.859218072,0.122168943,14.21861882,13.94602289,0.627202086,4.497354486,120.5218735,12.23121976,10.14854765,18.77742771,3.312356336,17.64009633,38.70298434,1.728690346,4.466555681,0.418095181,0.023122652,5.530475684,32.40926265,2.115891994,6.528664403,6.49233012,0.264386102,4.072283718,3.448577108,0.567261355,16.44914226,2.951904819,0.19107722,6.473014253,80324.40241,5148.937021,6.410177812,675.5266265,52.59934367,7.786420491,57339.42892,10148.68373,17.6993108,4.928931325,0.305283939,6.193714589,31536.59398,2611.813909,8.281851588,1124.700843,99.64014118,8.859257265,10542.02651,2092.460538,19.8487505,3992.381928,356.4686392,8.928720891,108.5684337,12.79947717,11.78931733,1.421034358,0.282057564,19.8487505,15.17682594,0.972861529,6.410177812,3.798902078,0.314619432,8.281851588,8.022913209,1.420000344,17.6993108,6.531311483,0.357212517,5.469231066,0.666119838,0.059475981,8.928720891
unassigned,62.8916,3.255007271,5.175583497,13.8856,1.636301928,11.78416437,86.264,9.706762248,11.25239062,7.1944,1.192763179,16.57905007,1.1376,0.042649736,3.749097769,37692.96,3145.045011,8.343852569,4.4112,0.415695401,9.423635322,NA,30.02332467,NA,102.394,12.45173582,12.1606108,2.7884,1.221995226,43.82424424,13.7188,1.206884142,8.797301094,493.5832,164.7272154,33.37374842,0.9464,0.077560729,8.19534329,0.8024,0.154576842,19.26431228,11.3836,0.821552798,7.216985822,106.9372,28.12425399,26.29978529,19.9944,7.383610838,36.92839414,31.5804,1.983201284,6.279848527,0.3764,0.024131584,6.41115402,28.1944,2.091327489,7.41752791,5.602,0.269289188,4.807018704,3.8712,1.14799216,29.65468486,2.6312,0.233386661,8.869970378,74059.28,5081.14037,6.86090976,638.7804,154.7706814,24.22909052,85355.24,14414.01955,16.88709393,4.4384,0.259128025,5.838320678,27421.88,3445.311492,12.5640966,809.9656,128.1920925,15.82685642,10499.096,1454.491122,13.85348912,3565.04,387.5758238,10.87157013,108.2264,15.62626472,14.43849626,1.415247451,0.196061152,13.85348912,13.99306771,0.960051748,6.86090976,3.303243114,0.415022656,12.5640966,11.94287588,2.016804668,16.88709393,5.389090968,0.449657805,8.343852569,0.59481881,0.064666144,10.87157013
