Sample,Site,Region,Instrument,Component,Ware,Incision,Glaze_or_slip_color,Provenance,Count,Na2O,MgO,Al2O3,SiO2,P2O5,SO3,K2O,CaO,TiO2,Cr2O3,MnO,FeO,CuO,SnO2,Sb2O3,ZnO,PbO,Total
K215,Arna,Talas Valley, FE-SEM Zeiss Σigma HD with an Oxford Instrument X-MaxN 6 80 SDD,Glaze,Monochrome,,Yellow,TV4,5,0.26,0.92,6.3,42.46,0.18,,0.92,1.79,0.19,,,0.675000068,,,0.62,,45.59,100
K215  ,Arna,Talas Valley, FE-SEM Zeiss Σigma HD with an Oxford Instrument X-MaxN 6 80 SDD,Slip,Monochrome,,White,TV4,5,0.77,1.09,13.28,62.05,0.19,,3.6,0.77,0.54,,,0.972000097,,,,,16.31,99.74
K224,Arna,Talas Valley, FE-SEM Zeiss Σigma HD with an Oxford Instrument X-MaxN 6 80 SDD,Glaze,Monochrome,,Yellow,KAZ3,5,0.18,0.69,4.57,38.32,0.26,,0.79,0.84,0.2,,0.07,0.738000074,0.12,0.21,0.13,,52.85,100
K224,Arna,Talas Valley, FE-SEM Zeiss Σigma HD with an Oxford Instrument X-MaxN 6 80 SDD,Slip,Monochrome,,White,KAZ3,5,0.78,0.92,14.83,60.23,0.73,,4.03,1,0.44,,,0.972000097,,,,,15.98,99.96
K234,Talapty,Talas Valley, FE-SEM Zeiss Σigma HD with an Oxford Instrument X-MaxN 6 80 SDD,Glaze,Monochrome,,Yellow,TV4,5,0.38,0.63,6.98,40.53,0.13,,1.76,1.04,0.28,,,0.729000073,0.34,,0.42,,46.71,100
K234,Talapty,Talas Valley, FE-SEM Zeiss Σigma HD with an Oxford Instrument X-MaxN 6 80 SDD,Slip,Monochrome,,White,TV4,5,0.87,0.96,15.63,62.92,0.37,0.4,4.91,0.73,0.37,,,0.945000095,,,,,11.57,99.64
K238,Talapty,Talas Valley, FE-SEM Zeiss Σigma HD with an Oxford Instrument X-MaxN 6 80 SDD,Glaze,Monochrome,,Yellow,TV4,5,0.41,0.6,6.45,37.84,0.11,,1.5,0.95,0.17,,,0.684000068,0.47,,0.33,,50.26,100
K238,Talapty,Talas Valley, FE-SEM Zeiss Σigma HD with an Oxford Instrument X-MaxN 6 80 SDD,Slip,Monochrome,,White,TV4,5,1.05,0.81,16.24,65.95,0.1,,4.78,0.79,1.08,,,0.972000097,,,,,7.85,99.76
K240,Talapty,Talas Valley, FE-SEM Zeiss Σigma HD with an Oxford Instrument X-MaxN 6 80 SDD,Glaze,Alkali,,Blue,TV-QTZ,5,12.41,3.12,2.22,59.21,0.5,,2.9,6.73,0.11,,,0.594000059,2.06,0.72,,,8.88,99.51
K247,Talapty,Talas Valley, FE-SEM Zeiss Σigma HD with an Oxford Instrument X-MaxN 6 80 SDD,Glaze,Alkali,,Blue,TV-QTZ,5,11.38,3.17,3.38,66.05,0.58,0.32,5.29,5.71,0.15,,,1.440000144,2.13,,,,b.d.,99.75
K278,Zhargul,Talas Valley, FE-SEM Zeiss Σigma HD with an Oxford Instrument X-MaxN 6 80 SDD,Glaze,Alkali,,Blue,TV-QTZ,5,7.65,3.88,4.09,68.71,0.49,0.28,4.62,6.69,0.12,,0.09,0.792000079,2.15,,,,,99.66
K278,Zhargul,Talas Valley, FE-SEM Zeiss Σigma HD with an Oxford Instrument X-MaxN 6 80 SDD,Glaze,Alkali,,Blue,TV-QTZ,3,6.24,3.66,4.95,71.63,0.47,0.27,4.33,6.1,0.19,,,0.729000073,1.12,,,,,99.78
K284,Zhargul,Talas Valley, FE-SEM Zeiss Σigma HD with an Oxford Instrument X-MaxN 6 80 SDD,Glaze,Alkali,,Blue,TV-QTZ,5,7.59,2.49,2.29,79.2,0.27,0.27,2.74,3.21,0.13,,,0.828000083,0.59,,,,,99.72
K284,Zhargul,Talas Valley, FE-SEM Zeiss Σigma HD with an Oxford Instrument X-MaxN 6 80 SDD,Glaze,Alkali,,Blue,TV-QTZ,5,12.85,3.33,2.89,68.74,0.34,0.41,3.12,4.88,0.11,,,0.891000089,1.83,,,,,99.5
K286,Zhargul,Talas Valley, FE-SEM Zeiss Σigma HD with an Oxford Instrument X-MaxN 6 80 SDD,Glaze,Alkali,,Blue,TV-QTZ,4,15.45,3.73,2.63,64.75,0.44,0.48,3.18,5.34,0.15,,,1.053000105,2.05,,,,,99.36
K242,Talapty,Talas Valley, FE-SEM Zeiss Σigma HD with an Oxford Instrument X-MaxN 6 80 SDD,Glaze,Monochrome,Y,Green,TV4,5,0.4,0.86,5.16,34.91,0.14,,0.99,1.45,0.21,,,1.008000101,1.1,,,1.76,51.98,100
K242,Talapty,Talas Valley, FE-SEM Zeiss Σigma HD with an Oxford Instrument X-MaxN 6 80 SDD,Slip,Monochrome,Y,White,TV4,5,0.57,0.61,12.1,65.01,0.2,,3.32,0.25,0.54,,,0.666000067,0.14,,,,16.26,99.74
K267,Zhargul,Talas Valley, FE-SEM Zeiss Σigma HD with an Oxford Instrument X-MaxN 6 80 SDD,Glaze,Monochrome,Y,Green,KAZ3,5,0.1,0.54,4.66,32.85,0.08,,1.09,1.6,0.2,,,0.468000047,3.03,,,,55.37,100
K267,Zhargul,Talas Valley, FE-SEM Zeiss Σigma HD with an Oxford Instrument X-MaxN 6 80 SDD,Slip,Monochrome,Y,White,KAZ3,5,0.72,1.1,12.03,67.33,0.22,1.44,4.49,1.53,0.43,,,0.594000059,,,,,10.28,99.56
K281,Zhargul,Talas Valley, FE-SEM Zeiss Σigma HD with an Oxford Instrument X-MaxN 6 80 SDD,Glaze,Monochrome,Y,Green,KAZ3,5,0.44,0.8,6.13,35.63,,,1.8,2.04,0.29,,,1.611000161,3.48,,,,47.6,100
K216,Arna,Talas Valley, FE-SEM Zeiss Σigma HD with an Oxford Instrument X-MaxN 6 80 SDD,Glaze,Splashed,Y,Brown,TV4,5,0.12,0.61,2.11,27.19,0.11,,0.48,2.5,0.17,,0.66,0.576000058,0.25,,,,65.16,100
K216,Arna,Talas Valley, FE-SEM Zeiss Σigma HD with an Oxford Instrument X-MaxN 6 80 SDD,Glaze,Splashed,Y,Transparent,TV4,5,0.2,0.78,4.44,34.05,0.15,,1.03,3.2,0.15,,,0.594000059,0.55,,,0.11,54.78,100
K216,Arna,Talas Valley, FE-SEM Zeiss Σigma HD with an Oxford Instrument X-MaxN 6 80 SDD,Slip,Splashed,Y,White,TV4,5,0.47,0.78,12.19,69.85,0.18,,4.11,0.5,0.37,,,0.49500005,,,,,10.72,99.72
K218,Arna,Talas Valley, FE-SEM Zeiss Σigma HD with an Oxford Instrument X-MaxN 6 80 SDD,Glaze,Splashed,Y,Brown,KAZ3,5,0.212,0.69,3.44,35.12,0.17,,0.63,1.48,0.14,,0.15,7.920000792,0.1,,,,49.93,100
K218,Arna,Talas Valley, FE-SEM Zeiss Σigma HD with an Oxford Instrument X-MaxN 6 80 SDD,Glaze,Splashed,Y,Brown,KAZ3,5,0.18,0.91,4.342,36.86,0.24,,0.62,1.27,0.16,0.59,,1.026000103,0.16,,,,53.66,100
K218,Arna,Talas Valley, FE-SEM Zeiss Σigma HD with an Oxford Instrument X-MaxN 6 80 SDD,Glaze,Splashed,Y,Transparent,KAZ3,5,0.24,0.63,3.136,39.42,0.16,,0.63,1.2,0.11,,,0.576000058,0.08,,,,53.85,100
K218,Arna,Talas Valley, FE-SEM Zeiss Σigma HD with an Oxford Instrument X-MaxN 6 80 SDD,Slip,Splashed,Y,White,KAZ3,5,0.6,1.31,9.96,71.64,0.34,0.19,2.52,1.36,0.31,,,0.621000062,,,,,10.64,99.47
K231,Arna,Talas Valley, FE-SEM Zeiss Σigma HD with an Oxford Instrument X-MaxN 6 80 SDD,Glaze,Splashed,Y,Green,KAZ3,5,0.15,0.51,3.06,31.63,,,0.61,1.15,0.13,,,0.531000053,1.4,,,,60.63,100
K231,Arna,Talas Valley, FE-SEM Zeiss Σigma HD with an Oxford Instrument X-MaxN 6 80 SDD,Slip,Splashed,Y,White,KAZ3,5,0.7,0.86,10.31,70.15,0.37,0.27,3.42,0.8,0.33,,,0.738000074,,,,,11.67,99.63
K269,Zhargul,Talas Valley, FE-SEM Zeiss Σigma HD with an Oxford Instrument X-MaxN 6 80 SDD,Glaze,Splashed,Y,Green,TV1,5,0.15,0.74,2.83,33.79,0.16,,0.64,1.27,0.15,,,0.369000037,1.34,,0.58,,58.01,100
K269,Zhargul,Talas Valley, FE-SEM Zeiss Σigma HD with an Oxford Instrument X-MaxN 6 80 SDD,Slip,Splashed,Y,White,TV1,5,0.7,0.94,11.19,67.89,0.26,,3.71,0.51,0.35,,,0.49500005,,0.21,,,13.27,99.61
K280,Zhargul,Talas Valley, FE-SEM Zeiss Σigma HD with an Oxford Instrument X-MaxN 6 80 SDD,Glaze,Splashed,Y,Green,KAZ3,5,0.23,0.54,4.87,32.04,,,0.88,1.37,0.15,,,0.405000041,1.46,,,,57.89,100
K280,Zhargul,Talas Valley, FE-SEM Zeiss Σigma HD with an Oxford Instrument X-MaxN 6 80 SDD,Glaze,Splashed,Y,Transparent,KAZ3,5,0.25,0.62,5.77,37.78,0.12,,1.05,1.24,0.22,,,0.414000041,0.18,,,0.17,52.21,100
K280,Zhargul,Talas Valley, FE-SEM Zeiss Σigma HD with an Oxford Instrument X-MaxN 6 80 SDD,Slip,Splashed,Y,White,KAZ3,5,0.63,0.89,12.78,75.66,0.24,,3.15,1.27,0.47,,,0.459000046,,,,,4.16,99.76
K221,Arna,Talas Valley, FE-SEM Zeiss Σigma HD with an Oxford Instrument X-MaxN 6 80 SDD,Glaze,Underglaze,,Brown,,5,0.31,0.56,4.72,35.92,0.11,,1.02,1.1,0.2,,0.22,2.340000234,0.09,,,,53.38,100
K221,Arna,Talas Valley, FE-SEM Zeiss Σigma HD with an Oxford Instrument X-MaxN 6 80 SDD,Glaze,Underglaze,,Transparent,,5,0.38,0.36,3.05,33.49,0.11,,0.87,0.98,0.11,,,0.522000052,0.11,,,,59.98,100
K221,Arna,Talas Valley, FE-SEM Zeiss Σigma HD with an Oxford Instrument X-MaxN 6 80 SDD,Slip,Underglaze,,White,,5,0.63,0.49,9.03,78.39,0.38,0.38,2.54,0.9,0.2,,,0.837000084,,,,,5.83,99.56
K249,Talapty,Talas Valley, FE-SEM Zeiss Σigma HD with an Oxford Instrument X-MaxN 6 80 SDD,Glaze,Underglaze,Y,Transparent,TV4,5,0.22,0.63,5.47,39.3,0.18,,1.04,1.13,0.22,,,0.360000036,0.25,,,,51.09,100
K249,Talapty,Talas Valley, FE-SEM Zeiss Σigma HD with an Oxford Instrument X-MaxN 6 80 SDD,Slip,Underglaze,Y,White,TV4,5,0.88,0.74,10.25,71.67,,,3.93,0.96,0.39,,,0.468000047,,,,,9.83,99.17
K250,Talapty,Talas Valley, FE-SEM Zeiss Σigma HD with an Oxford Instrument X-MaxN 6 80 SDD,Glaze,Underglaze,,Brown,KAZ3,5,0.17,0.59,3.03,34.42,0.11,,0.71,1.24,0.16,,0.18,4.50000045,,,,,54.87,100
K250,Talapty,Talas Valley, FE-SEM Zeiss Σigma HD with an Oxford Instrument X-MaxN 6 80 SDD,Glaze,Underglaze,,Red,KAZ3,4,0.1,0.81,4.42,36.62,0.21,,0.6,1.79,0.13,,0.09,1.935000194,,,,,53.17,100
K250,Talapty,Talas Valley, FE-SEM Zeiss Σigma HD with an Oxford Instrument X-MaxN 6 80 SDD,Glaze,Underglaze,,Transparent,KAZ3,3,0.12,0.67,5.19,38.22,0.14,,0.76,1.39,0.15,,,1.152000115,,,,,52.15,100
K250,Talapty,Talas Valley, FE-SEM Zeiss Σigma HD with an Oxford Instrument X-MaxN 6 80 SDD,Slip,Underglaze,,White,KAZ3,5,0.72,0.65,11.04,68.57,0.14,,3.35,0.56,0.3,,,0.522000052,,,,,13.75,99.64
K255,Zhargul,Talas Valley, FE-SEM Zeiss Σigma HD with an Oxford Instrument X-MaxN 6 80 SDD,Glaze,Underglaze,,Brown,,5,0.18,0.33,3.26,31.22,,,0.59,1.04,,,0.47,1.764000176,0.08,,,,61.1,100
K255,Zhargul,Talas Valley, FE-SEM Zeiss Σigma HD with an Oxford Instrument X-MaxN 6 80 SDD,Glaze,Underglaze,,Red,,5,0.09,0.36,3.46,32.11,0.05,,0.55,1.2,0.15,,0.14,1.152000115,,,,,60.64,100
K255,Zhargul,Talas Valley, FE-SEM Zeiss Σigma HD with an Oxford Instrument X-MaxN 6 80 SDD,Slip,Underglaze,,White,,5,0.28,0.25,9.57,69.59,0.5,,2.1,0.35,0.33,,0.11,0.405000041,0.15,,,,16,99.41
K257,Zhargul,Talas Valley, FE-SEM Zeiss Σigma HD with an Oxford Instrument X-MaxN 6 80 SDD,Glaze,Underglaze,,Brown,,5,1.02,0.7,5.49,38.29,0.15,,3.36,2.42,0.32,,1.52,8.550000855,0.36,,,0.25,37.7,100
K257,Zhargul,Talas Valley, FE-SEM Zeiss Σigma HD with an Oxford Instrument X-MaxN 6 80 SDD,Glaze,Underglaze,,Brown,,5,1.2,0.52,3.79,48.55,0.11,,4.84,1.67,0.28,,,0.558000056,0.21,,,,38.08,100
K257,Zhargul,Talas Valley, FE-SEM Zeiss Σigma HD with an Oxford Instrument X-MaxN 6 80 SDD,Slip,Underglaze,,White,,4,0.91,0.24,14.07,73.11,0.28,,5.71,0.39,0.36,,,0.675000068,,,,,3.55,99.35
K258,Zhargul,Talas Valley, FE-SEM Zeiss Σigma HD with an Oxford Instrument X-MaxN 6 80 SDD,Glaze,Underglaze,,Brown,,3,0.38,0.96,5.94,40.6,0.13,,1.15,1.94,0.27,,,1.827000183,0.22,,,,46.38,100
K258,Zhargul,Talas Valley, FE-SEM Zeiss Σigma HD with an Oxford Instrument X-MaxN 6 80 SDD,Glaze,Underglaze,,Green,,5,0.24,0.62,3.56,36.1,,,0.71,1.24,0.18,,,0.549000055,0.53,,,,56.03,100
K258,Zhargul,Talas Valley, FE-SEM Zeiss Σigma HD with an Oxford Instrument X-MaxN 6 80 SDD,Glaze,Underglaze,,Transparent,,5,0.51,0.56,7.12,43.74,0.09,,1.57,1.38,0.16,,,0.549000055,0.19,,,,44.02,100
K258,Zhargul,Talas Valley, FE-SEM Zeiss Σigma HD with an Oxford Instrument X-MaxN 6 80 SDD,Slip,Underglaze,,White,,5,1.59,0.28,11.14,65.49,0.48,,4.37,0.35,0.19,,,0.333000033,,,,,13.55,97.81
K272,Zhargul,Talas Valley, FE-SEM Zeiss Σigma HD with an Oxford Instrument X-MaxN 6 80 SDD,Glaze,Underglaze,,Brown,KAZ3,5,0.12,0.75,4.52,38.28,,,0.72,1.1,0.15,,,3.078000308,,,,,51,100
K272,Zhargul,Talas Valley, FE-SEM Zeiss Σigma HD with an Oxford Instrument X-MaxN 6 80 SDD,Glaze,Underglaze,,Red,KAZ3,5,0.23,0.74,11.93,36.34,,,1.74,1.37,0.23,,0.08,2.79900028,0.32,,,,44.03,100
K272,Zhargul,Talas Valley, FE-SEM Zeiss Σigma HD with an Oxford Instrument X-MaxN 6 80 SDD,Glaze,Underglaze,,Transparent,KAZ3,3,0.15,0.76,5.32,41.1,0.13,,0.79,1.35,0.12,,,0.585000059,,,,,49.61,100
K272,Zhargul,Talas Valley, FE-SEM Zeiss Σigma HD with an Oxford Instrument X-MaxN 6 80 SDD,Slip,Underglaze,,White,KAZ3,3,0.51,0.92,13.78,67.97,,,3.1,0.37,0.54,,,0.630000063,,,,,11.79,99.68
K273,Zhargul,Talas Valley, FE-SEM Zeiss Σigma HD with an Oxford Instrument X-MaxN 6 80 SDD,Glaze,Underglaze,,Transparent,KAZ14,5,0.17,0.38,2.64,33.59,,,0.5,0.66,,,,0.252000025,0.15,,,,61.51,100
K273,Zhargul,Talas Valley, FE-SEM Zeiss Σigma HD with an Oxford Instrument X-MaxN 6 80 SDD,Glaze,Underglaze,,Brown,KAZ14,3,0.18,0.47,2.9,36.44,,,0.62,0.75,,,0.83,0.423000042,,,,,57.17,100
K273,Zhargul,Talas Valley, FE-SEM Zeiss Σigma HD with an Oxford Instrument X-MaxN 6 80 SDD,Slip,Underglaze,,White,KAZ14,5,0.66,0.41,13.83,72.04,0.27,,2.77,0.53,0.33,,,0.441000044,,,,,8.18,99.5
K283,Zhargul,Talas Valley, FE-SEM Zeiss Σigma HD with an Oxford Instrument X-MaxN 6 80 SDD,Glaze,Underglaze,Y,Red,TV1,5,0.28,0.87,7.82,35.91,0.11,,1.13,1.96,0.36,,,3.033000303,,,,,48.32,100
K283,Zhargul,Talas Valley, FE-SEM Zeiss Σigma HD with an Oxford Instrument X-MaxN 6 80 SDD,Glaze,Underglaze,Y,Transparent,TV1,5,0.35,0.54,6.79,41.97,,,1.36,0.68,0.2,,,0.49500005,,,,,47.36,100
K283,Zhargul,Talas Valley, FE-SEM Zeiss Σigma HD with an Oxford Instrument X-MaxN 6 80 SDD,Slip,Underglaze,Y,White,TV1,5,0.76,1.11,12.91,60.21,,,3.13,0.42,0.38,,,0.639000064,,,,,20.1,99.8
K254,Talapty,Talas Valley, FE-SEM Zeiss Σigma HD with an Oxford Instrument X-MaxN 6 80 SDD,Glaze,Monochrome,Y,Brown,,5,1.53,2.43,11.56,58.05,0.19,0.13,5.81,7.81,0.47,,0.09,3.672000367,1.76,,,,6.14,99.98
